rho_total,T_max_ms,idle_ratio_mean,idle_ratio_std,idle_ratio_pct
0.2,1.0,0.4055250567256002,0.002959126408251985,40.55250567256002
0.2,2.0,0.26298230392269,0.002380176715558049,26.298230392269
0.2,5.0,0.1280034581393023,0.0013712931669550225,12.80034581393023
0.2,10.0,0.06898843163400298,0.0007892415506276215,6.898843163400298
0.3,1.0,0.31905658320148944,0.0026675151228401786,31.905658320148945
0.3,2.0,0.19458566939186564,0.0019249965437705175,19.458566939186564
0.3,5.0,0.08965604413820914,0.001002845097658956,8.965604413820914
0.3,10.0,0.04721864869382847,0.0005528622965359622,4.721864869382847
0.4,1.0,0.26298230392269,0.002380176715558049,26.298230392269
0.4,2.0,0.1544232743234286,0.001604065483640474,15.442327432342859
0.4,5.0,0.06898843163400298,0.0007892415506276215,6.898843163400298
0.4,10.0,0.03589251632850409,0.0004252614630383362,3.589251632850409
0.5,1.0,0.2236720310893914,0.002132632684719889,22.36720310893914
0.5,2.0,0.1280034581393023,0.0013712931669550225,12.80034581393023
0.5,5.0,0.056064405934461596,0.0006503196941220683,5.60644059344616
0.5,10.0,0.0289487144800442,0.0003454683420768391,2.89487144800442
0.6,1.0,0.19458566939186564,0.0019249965437705175,19.458566939186564
0.6,2.0,0.10930312874627791,0.0011961429480887786,10.930312874627791
0.6,5.0,0.04721864869382847,0.0005528622965359622,4.721864869382847
0.6,10.0,0.02425610462824914,0.0002908710950865617,2.425610462824914
0.7,1.0,0.17219360690986765,0.0017509631834809623,17.219360690986765
0.7,2.0,0.09537026714948889,0.0010600452613799699,9.537026714948889
0.7,5.0,0.040783837186675574,0.0004807553329601478,4.078383718667557
0.7,10.0,0.0208726340022851,0.0002511684376909914,2.08726340022851
0.8,1.0,0.1544232743234286,0.001604065483640474,15.442327432342859
0.8,2.0,0.08458786245813098,0.0009514386412342907,8.458786245813098
0.8,5.0,0.03589251632850409,0.0004252614630383362,3.589251632850409
0.8,10.0,0.018317531680965008,0.00022099901889552045,1.831753168096501
0.9,1.0,0.13997763208246933,0.0014789217461095663,13.997763208246933
0.9,2.0,0.07599589440035073,0.0008628444199041618,7.599589440035073
0.9,5.0,0.032048811917022385,0.00038123930498293275,3.2048811917022384
0.9,10.0,0.01631976431001909,0.00019729819611713053,1.6319764310019091
1.0,1.0,0.1280034581393023,0.0013712931669550225,12.80034581393023
1.0,2.0,0.06898843163400298,0.0007892415506276215,6.898843163400298
1.0,5.0,0.0289487144800442,0.0003454683420768391,2.89487144800442
1.0,10.0,0.014714910140750761,0.00017818747116603095,1.471491014075076
